NEnr;ID_Source;ID_Finance;IDTFinance;Provenance;DateDebut;DateFin;MontantPrevu;MontantRealise;Observation
587;587;310;RECETTES;CAC;01/01/2007;31/12/2007;42 388 271,000000;42 388 271,000000;
843;843;527;RECETTES;CAC;01/01/2008;31/12/2008;46 616 324,000000;46 616 324,000000;
588;588;311;RECETTES;CAC;01/01/2008;31/12/2008;32 101 256,000000;32 101 256,000000;
844;844;528;RECETTES;CAC;01/01/2009;31/12/2009;58 683 074,000000;58 683 074,000000;
333;333;91;RECETTES;CAC;01/01/2011;31/12/2011;47 320 000,000000;0,000000;"Les CAC e elles seules representent plus de 60% des previsions en fonds propres de la commune. Par ailleurs, il convient de signaler que le montant budgetaire en fonds propres de la commune de Galim Tignere est
en constante evolution. Cette evolution est principalement la resultante des majorations budgetaires au niveau des taxes communales indirectes et une
fois de plus des CAC."
589;589;312;RECETTES;CAC;01/01/2009;31/12/2009;34 887 436,000000;34 887 436,000000;
845;845;529;RECETTES;CAC;01/01/2010;31/12/2010;98 100 977,000000;98 100 977,000000;
590;590;313;RECETTES;CAC;01/01/2010;31/12/2010;63 997 274,000000;63 997 274,000000;
846;846;530;RECETTES;CAC;01/01/2011;31/12/2011;72 245 590,000000;72 245 590,000000;
591;591;314;RECETTES;CAC;01/01/2011;31/12/2011;53 035 376,000000;53 035 376,000000;
847;847;531;RECETTES;CAC;01/01/2012;30/06/2012;51 194 486,000000;51 194 486,000000;
592;592;315;RECETTES;CAC;01/01/2012;30/06/2012;34 724 813,000000;34 724 813,000000;
848;848;532;RECETTES;CAC;01/01/2007;31/12/2007;2 890 110,000000;2 890 110,000000;
593;593;316;RECETTES;CAC;01/01/2007;31/12/2007;32 754 574,000000;32 754 574,000000;
849;849;533;RECETTES;CAC;01/01/2008;31/12/2008;2 188 724,000000;2 188 724,000000;
594;594;317;RECETTES;CAC;01/01/2008;31/12/2008;24 805 516,000000;24 805 516,000000;
850;850;534;RECETTES;CAC;01/01/2009;31/12/2009;2 378 689,000000;2 378 689,000000;
595;595;318;RECETTES;CAC;01/01/2009;31/12/2009;26 958 473,000000;26 958 473,000000;
851;851;535;RECETTES;CAC;01/01/2010;31/12/2010;4 363 451,000000;4 363 451,000000;
596;596;319;RECETTES;CAC;01/01/2010;31/12/2010;49 452 439,000000;49 452 439,000000;
